Gene	Level_1	Level_2	Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	
YCL014w	4	43	-0.9231	-0.94508	-1.07696	-0.59342	0.35166	0.85717	1.78027	2.21985	0.85717	-1.16487	-0.74728	-0.74728	-0.21979	0.4176	0.26374	-0.50551	0.17583		
YOR188w	4	43	-0.80905	0.04942	0.65219	0.9079	1.27321	2.25955	1.16362	0.41473	-0.79079	-0.90038	-0.99171	-0.06017	-0.0967	-0.22456	-0.31589	-1.1013	-1.43008		
YJR076c	4	43	-1.00311	-1.37785	-0.43406	0.35242	1.07414	1.51827	0.72716	1.07877	-0.55435	-1.39635	-0.39243	-0.78567	-0.2305	1.54603	1.1204	-0.36467	-0.8782		
YJL099w	4	43	0.29454	-1.59894	-1.09401	-0.18935	-0.31558	2.06179	1.89348	0	0.14727	-0.29454	-1.36751	-0.6522	-0.21039	1.15713	0.48389	0.08415	-0.39973		
YKL048c	4	43	-0.8749	-1.57719	-1.27621	0.0782	0.73032	1.23195	0.70523	-0.49868	-0.27295	-1.50194	-1.05048	-0.1977	1.20687	1.23195	1.23195	0.45442	0.37917		
YBR038w	4	43	-1.03506	-1.26889	-0.95155	-0.77617	-0.6342	-0.18324	1.7793	1.77095	1.8127	0.11741	-0.2751	-0.78452	-0.26675	-0.52563	0.61013	0.60178	0.00884		
YJL092w	4	45	-1.27678	-1.10499	-0.08172	1.00877	1.65858	2.25611	0.55315	-0.11907	-0.70913	-0.71659	-0.71659	-0.23857	0.03032	1.01624	0.05272	-0.66431	-0.94814		
YCR084c	4	46	-1.57833	0.08352	-0.19077	1.06772	1.34201	0.90638	1.27747	1.09999	-0.77161	-0.73934	-1.01363	-0.90068	0.42234	0.79344	0.51915	-0.91682	-1.40085		
YGL255w	4	48	-1.37568	-0.68707	-1.05086	-0.59613	-0.27131	0.30036	1.28779	0.58619	0.19642	-0.66109	-1.25874	-1.01189	-0.07643	0.59918	1.31377	2.11931	0.58619		
YLR014c	4	48	-0.44395	3.40084	0.35349	-0.55787	-1.18443	-0.84267	0.23957	0.58133	0.18261	-0.30155	-0.33003	-0.72875	-0.27307	-0.35851	0.43893	0.15413	-0.33003		
YJL137c	4	48	-0.61994	-0.83114	-2.09834	-0.09193	1.59767	1.97783	0.58391	0.98519	-0.09193	-0.66218	-0.87338	-0.74666	-0.00745	0.45719	0.71063	0.18263	-0.4721		
YOR274w	4	48	1.55805	0.98949	-0.02018	-1.07887	-0.95143	-0.03979	0.92087	1.78351	1.47962	-0.49071	-0.96124	-0.97104	-0.61814	-0.59854	-0.58874	-0.92203	0.50916		
YBR104w	4	48	-2.14592	0.08034	1.34346	-0.48807	-0.98542	-0.86701	0.73558	0.36454	-0.4486	-0.93016	-0.51965	-0.33018	0.2856	0.47507	1.70661	1.49346	0.23033		
YGR108w	5	51	-1.49391	-0.82181	-1.12649	-1.10857	-0.59777	0.64785	1.57087	1.09592	0.9615	-0.51712	-0.73219	-0.81284	-0.60673	0.48655	1.11384	1.09592	0.845		
YPR119w	5	51	-1.38564	-0.89396	-1.16215	-0.99081	-0.14154	0.52148	1.57188	2.05611	1.07275	-0.31289	-0.69282	-0.94611	-0.44698	-0.08195	0.64812	0.53638	0.64812		
YAL040c	5	51	-0.2105	-0.36441	-0.92235	-0.92663	0.19352	-1.01855	0.41157	0.23628	-0.09293	3.45564	0.36026	-0.17202	-0.72568	-0.20622	0.16573	0.12084	-0.30456		
YGL116w	5	51	-0.96489	-0.94733	-0.84196	-0.85952	-0.75415	-0.24484	1.26552	2.33682	1.5992	-0.06922	-0.31509	-0.70146	-0.61365	-0.56096	0.24691	0.47521	0.9494		
YOL069w	5	52	-1.02006	-1.62852	-1.3919	-0.54682	-0.51301	1.07574	1.44757	1.65039	0.83911	-0.71583	-0.4116	-1.05386	0.39967	0.39967	0.60249	0.06164	0.80531		
YGR092w	5	52	-1.29288	-1.07937	-1.04379	-1.20985	-0.65237	0.01186	1.17426	1.76732	1.82663	0.61678	0.01186	-0.1542	-0.65237	-0.48631	-0.35584	0.75912	0.75912		
YBR138c	5	52	-0.85589	-1.15043	-1.39588	-1.05225	-0.68899	-0.09009	1.03897	2.00113	1.4906	-0.12937	-0.60063	-0.7479	-0.149	-0.149	0.68552	1.03897	0.75425		
YOR058c	5	52	-0.35455	-0.106	-1.47302	-0.47882	-0.64452	0.63965	1.88239	1.5717	1.38529	-0.54096	-0.85164	-1.618	-0.35455	-0.37526	0.26682	0.2254	0.82606		
YHR023w	5	52	-1.21582	-1.45476	-1.27907	-1.26501	-0.46384	0.46384	1.86941	1.49693	0.68873	0.34436	-0.23895	-0.5552	-0.70981	0.31625	0.47789	0.60439	0.92065		
YPL242C	5	52	-1.35876	-1.04049	-1.30089	-1.09835	0.69555	0.77271	1.51534	2.06509	0.70519	-0.16282	-0.3943	-0.61612	-0.78973	-0.30749	0.09758	0.64733	0.57017		
YJR092w	5	53	-1.54126	-1.10426	-1.17864	-1.21583	0.67163	0.14166	0.05797	1.91755	1.86176	0.03008	-0.89971	-0.472	0.13236	0.14166	0.45778	0.76461	0.23463		
YLR353w	5	53	-1.59764	-1.44301	-1.4651	-0.70299	0.03703	0.50093	1.02005	1.009	1.52812	0.33525	-0.96807	-0.7803	-0.1176	-0.00715	0.89855	1.05318	0.69974		
YCL037C	5	53	-1.51473	-0.32149	-0.99913	-0.86655	2.09445	0.48873	1.56412	1.32842	0.42981	0.68024	-0.99913	-0.96967	-0.29203	-0.07106	-0.43934	0.20884	-0.32149		
YMR001c	5	54	-1.36982	-1.25043	-1.35192	-0.9639	-0.57588	0.3076	1.39405	1.71044	0.98216	-0.46246	-0.57588	-0.67736	0.05092	0.06286	0.71353	1.07767	0.92843		
YGL021w	5	55	-1.45763	-1.29567	-1.10334	-1.01224	-0.25306	0.54661	1.41714	1.19444	0.71869	-0.45551	-0.91102	-0.74906	-0.32392	0.92114	1.00212	1.39689	0.36441		
YCR042c	5	56	0.06828	0.36415	-1.02418	-1.36558	-1.33144	-0.94452	-0.13656	1.69559	1.50214	1.50214	0.62589	-0.37553	-0.94452	-0.72831	0.36415	-0.14794	0.87625		
YOR025w	5	56	-1.29071	-1.35026	-1.14185	-1.09719	-0.75481	0.55516	1.0464	0.86777	2.28195	-0.24869	-0.32312	-0.82924	0.12347	0.43608	0.48073	0.57005	0.67425		
YOR229w	5	56	-0.62432	-0.09195	-1.12271	-1.04342	-0.9528	-0.59034	0.78023	1.67507	1.47118	1.53915	0.10061	-0.89617	-1.17935	-0.73759	0.06663	0.74625	0.85952		
YDR146c	5	56	-1.55821	-1.37461	-0.95554	-0.9715	-0.75199	0.1141	0.48927	0.31765	0.37752	0.1141	-0.19322	-0.61629	-0.2491	1.6986	0.92431	2.04584	0.58905		
YLR131c	5	56	-1.3895	-1.68414	-1.42317	-0.87599	0.05001	0.39516	1.01811	0.82449	1.25382	0.71505	-0.73288	-1.06119	0.10052	1.00969	0.25205	1.28749	0.26047		
YNL053w	5	57	-0.89511	-0.73054	-1.30022	-0.71788	0.21894	1.13043	1.71278	1.86469	0.86458	-1.16096	-0.85713	-0.45202	-0.41405	-0.37607	0.11766	1.15575	-0.16085		
YKL130C	5	57	-1.19589	-0.66203	-1.37625	-1.13096	-0.42395	0.26142	0.61492	2.1588	1.69708	0.05941	-0.53938	-0.46002	-0.9506	0.42735	0.58606	0.92514	0.00891		
YIL162w	5	58	1.16196	-1.05585	-1.8247	-0.96714	-0.28701	0.12698	0.77754	1.90123	1.81252	-0.13916	0.30441	-0.46444	-0.49401	-0.84886	-0.46444	0.06784	0.39312		
YDL138W	5	58	0.96886	0.90853	-1.14276	-1.67713	-0.79801	-0.74629	-0.04816	1.10677	1.33086	0.95163	-0.00507	-1.28928	-1.17724	-0.16021	-0.00507	1.31362	0.46897		
YDL048c	5	59	1.41932	-1.28183	-1.15587	-0.40011	0.8315	0.71954	0.88748	1.40532	0.71954	-0.68002	-0.77799	-0.70801	-0.90395	-1.3938	-0.45609	0.5376	1.23737		
YGR143w	5	59	-0.51452	-0.69195	-1.27744	-0.94034	-1.06453	-0.51452	0.99357	1.38389	2.00487	0.03548	-0.07097	-0.51452	-0.88711	-0.69195	0.42581	1.18873	1.1355		
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
